iter	Logloss
0	0.6715072021
1	0.6521918335
2	0.6343702393
3	0.6175650635
4	0.6022369995
5	0.5877650146
6	0.5752516479
7	0.5626887207
8	0.5512496338
9	0.5392145996
10	0.5302156982
11	0.5206898193
12	0.5118693848
13	0.5042635193
14	0.4957449951
15	0.4889586487
16	0.4815223389
17	0.4743286438
18	0.4664656982
19	0.459291687
20	0.4534578247
21	0.4474936523
22	0.4428438721
23	0.4382305603
24	0.4341267395
25	0.4295310974
26	0.4257132263
27	0.4213966064
28	0.416806488
29	0.413129303
30	0.4090944519
31	0.4056127319
32	0.4028255005
33	0.4004674072
34	0.3974459839
35	0.3948212891
36	0.3925529785
37	0.390057251
38	0.387578949
39	0.3854771423
40	0.3830572815
41	0.381276062
42	0.3795614624
43	0.3780344849
44	0.3756893921
45	0.3734405518
46	0.3721832886
47	0.3709116516
48	0.3690799561
49	0.3673715515
50	0.3662354126
51	0.3651261597
52	0.363721283
53	0.3624063721
54	0.3612561035
55	0.3597999878
56	0.3585187683
57	0.3576175537
58	0.3564319763
59	0.3554399414
60	0.3545402832
61	0.3539545593
62	0.3535490723
63	0.3532641296
64	0.3521528625
65	0.3514006348
66	0.3502814331
67	0.349474762
68	0.3490581665
69	0.3484402771
70	0.3477056274
71	0.3470537109
72	0.3463370056
73	0.3455519714
74	0.3451729126
75	0.3448485718
76	0.3439306641
77	0.3432906189
78	0.3426643982
79	0.3419303284
80	0.3413751221
81	0.3409048157
82	0.3402819214
83	0.3398705444
84	0.3394851685
85	0.3390648499
86	0.3385399475
87	0.3378853455
88	0.3375002441
89	0.3370636597
90	0.3367561646
91	0.3365158691
92	0.336071167
93	0.3356437378
94	0.3350679932
95	0.3344899292
96	0.3341264954
97	0.3338787537
98	0.3333758545
99	0.3330498657
100	0.3325347595
101	0.3322282104
102	0.3318934937
103	0.331618927
104	0.3315091248
105	0.3311528931
106	0.3309953918
107	0.3305593262
108	0.3302008972
109	0.3300090332
110	0.329861084
111	0.3296429443
112	0.329394043
113	0.329057251
114	0.3288140259
115	0.3285975952
116	0.3282780762
117	0.3279931335
118	0.3275681152
119	0.3271733093
120	0.3270128479
121	0.3268843689
122	0.3267054749
123	0.3264957275
124	0.3263039551
125	0.3260097046
126	0.3259172974
127	0.3255738525
128	0.3253969116
129	0.325118103
130	0.3248448792
131	0.3246338501
132	0.3243510437
133	0.3241085205
134	0.3238712158
135	0.323692627
136	0.323519104
137	0.3233821411
138	0.3232339783
139	0.3229080811
140	0.322722168
141	0.3224019775
142	0.3222138672
143	0.3219375916
144	0.3217928162
145	0.3216854858
146	0.3214839478
147	0.3212139282
148	0.3210454712
149	0.3207572021
150	0.3205280762
151	0.3203788757
152	0.3202863159
153	0.3201359863
154	0.3200035706
155	0.3198674316
156	0.319665802
157	0.3195754395
158	0.3192748108
159	0.3191752625
160	0.3189823303
161	0.3188261719
162	0.318652771
163	0.3185042725
164	0.3183356934
165	0.3182369385
166	0.3181414185
167	0.3180300903
168	0.3178959045
169	0.3178358154
170	0.3176392822
171	0.3174335327
172	0.3173120117
173	0.3171933899
174	0.3169303589
175	0.3167318115
176	0.3165617676
177	0.3164620667
178	0.3162731323
179	0.3160426636
180	0.3159177856
181	0.3157455139
182	0.3155510864
183	0.3153243408
184	0.3151045532
185	0.3149736328
186	0.3148634033
187	0.3147380981
188	0.3145805359
189	0.3144125366
190	0.3142302856
191	0.314052124
192	0.3138623047
193	0.3136484985
194	0.3133925171
195	0.3132651978
196	0.3130640259
197	0.3129651184
198	0.3128187256
199	0.3126404419
200	0.3124854736
201	0.3123202515
202	0.3121552734
203	0.3120189819
204	0.3118106995
205	0.3117305603
206	0.3115974731
207	0.3114415894
208	0.3112568054
209	0.3110439758
210	0.3109101868
211	0.3108427734
212	0.3107020264
213	0.310574646
214	0.3104795532
215	0.3103262939
216	0.3102212524
217	0.3101101685
218	0.3100019836
219	0.3098388367
220	0.3098110962
221	0.3097992249
222	0.309661377
223	0.309576355
224	0.3094529419
225	0.309309845
226	0.3091702271
227	0.3089706116
228	0.3087705078
229	0.308644043
230	0.3085507813
231	0.3083559875
232	0.308241394
233	0.3080917969
234	0.3079729004
235	0.3078682251
236	0.3078231201
237	0.3076765442
238	0.3075492554
239	0.3074002686
240	0.3073121033
241	0.3071331482
242	0.3069827576
243	0.3068968811
244	0.3067518921
245	0.3066616211
246	0.3065756226
247	0.3064823608
248	0.3063924866
249	0.3062765808
250	0.3061658936
251	0.3060087891
252	0.3058583679
253	0.3057390137
254	0.3055979919
255	0.305524292
256	0.3054081421
257	0.3052945557
258	0.305166687
259	0.3049569092
260	0.3048020935
261	0.3046655884
262	0.3045639954
263	0.3044295959
264	0.3042874756
265	0.3041424561
266	0.3040214233
267	0.3038095703
268	0.3037341919
269	0.3035848389
270	0.3035214844
271	0.3033649902
272	0.3032687683
273	0.3030436401
274	0.3028953247
275	0.3026535645
276	0.3025655518
277	0.3024762878
278	0.3023244324
279	0.3022055664
280	0.3020864258
281	0.3019847717
282	0.3018806152
283	0.3017770996
284	0.3016933594
285	0.3015782166
286	0.3014723511
287	0.3014013062
288	0.3012803955
289	0.3012355652
290	0.3011775208
291	0.3010757141
292	0.300980835
293	0.3008195496
294	0.3006728516
295	0.3005943298
296	0.3004846497
297	0.3003424072
298	0.3002151794
299	0.3001591797
300	0.3000470581
301	0.2999379272
302	0.2998250122
303	0.29970224
304	0.2995809326
305	0.2994657898
306	0.2992720642
307	0.2991085815
308	0.2990269775
309	0.2988887634
310	0.2987953186
311	0.298732605
312	0.2986807251
313	0.2985269775
314	0.298425293
315	0.2983128662
316	0.2982158813
317	0.2981377258
318	0.2980181274
319	0.2979509583
320	0.2978450928
321	0.297744812
322	0.2976316528
323	0.2975615845
324	0.2974532166
325	0.2972995911
326	0.297230896
327	0.2971004028
328	0.2969848328
329	0.2968751221
330	0.296736084
331	0.2965610352
332	0.2964360657
333	0.2963492432
334	0.2962518311
335	0.2961439514
336	0.2961008301
337	0.2959172363
338	0.2957835693
339	0.2956885986
340	0.2955320435
341	0.2954228821
342	0.2952211304
343	0.2951330261
344	0.2949425354
345	0.2948547974
346	0.2947585449
347	0.2946132813
348	0.2944657898
349	0.2943433228
350	0.2942935791
351	0.2941782532
352	0.2940912476
353	0.2939434814
354	0.2937739258
355	0.2936262207
356	0.2934767456
357	0.2933228149
358	0.293138031
359	0.2930241089
360	0.2928695679
361	0.2928114624
362	0.2927183228
363	0.2926204224
364	0.2925389099
365	0.2924641724
366	0.292352478
367	0.2921812134
368	0.2920509338
369	0.291980072
370	0.2919019165
371	0.2918099976
372	0.2916791687
373	0.2915809021
374	0.291475708
375	0.291381897
376	0.2913197327
377	0.2912327576
378	0.2911317444
379	0.2910045471
380	0.2909348145
381	0.2908502197
